Time,Solar,Wind,Geothermal,Biomass,Biogas,Small Hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,source,as_of_date
2024-09-05 00:00:00-07:00,0.0,2935.0833333333335,802.0,336.25,157.0,260.8333333333333,0.0,2248.9166666666665,15788.25,2757.4166666666665,-58.416666666666664,4646.083333333333,0.0,CAISO via gridstatus,2024-09-05
2024-09-05 01:00:00-07:00,0.0,2757.0,801.0,333.6666666666667,156.75,261.0833333333333,0.0,2250.75,15487.583333333334,2588.0,-1116.0833333333333,4607.833333333333,0.0,CAISO via gridstatus,2024-09-05
2024-09-05 02:00:00-07:00,0.0,2479.5,801.1666666666666,333.6666666666667,156.83333333333334,260.1666666666667,0.0,2250.9166666666665,15376.25,2495.5,-2059.5833333333335,4684.0,0.0,CAISO via gridstatus,2024-09-05
2024-09-05 03:00:00-07:00,0.0,2337.5833333333335,802.5,335.25,156.5,259.0833333333333,0.0,2251.5,15263.666666666666,2335.6666666666665,-2367.5833333333335,4529.333333333333,0.0,CAISO via gridstatus,2024-09-05
2024-09-05 04:00:00-07:00,0.0,2109.9166666666665,802.25,337.0833333333333,156.91666666666666,259.75,0.0,2247.5833333333335,14706.083333333334,2411.0,-1747.6666666666667,4344.0,0.0,CAISO via gridstatus,2024-09-05
2024-09-05 05:00:00-07:00,0.0,1940.3333333333333,800.25,343.9166666666667,156.41666666666666,261.1666666666667,0.0,2245.0833333333335,15128.916666666666,1901.5833333333333,-660.6666666666666,4252.583333333333,0.0,CAISO via gridstatus,2024-09-05
2024-09-05 06:00:00-07:00,157.16666666666666,1619.3333333333333,799.8333333333334,350.0833333333333,156.58333333333334,260.3333333333333,0.0,2243.75,15393.833333333334,2400.5,510.8333333333333,3902.25,0.0,CAISO via gridstatus,2024-09-05
2024-09-05 07:00:00-07:00,5130.666666666667,1296.0,794.8333333333334,349.75,157.08333333333334,241.66666666666666,0.0,2242.3333333333335,15114.75,2042.9166666666667,-1207.8333333333333,3009.5,0.0,CAISO via gridstatus,2024-09-05
2024-09-05 08:00:00-07:00,13375.25,1120.5833333333333,793.3333333333334,351.0,156.66666666666666,239.5,0.0,2241.9166666666665,12771.916666666666,1750.4166666666667,-4676.416666666667,1928.4166666666667,0.0,CAISO via gridstatus,2024-09-05
2024-09-05 09:00:00-07:00,16334.083333333334,1042.25,789.3333333333334,349.9166666666667,155.41666666666666,239.0,0.0,2243.0833333333335,11927.583333333334,1598.0,-4989.5,1095.6666666666667,0.0,CAISO via gridstatus,2024-09-05
2024-09-05 10:00:00-07:00,17558.666666666668,807.1666666666666,788.3333333333334,349.75,155.08333333333334,238.25,0.0,2243.5833333333335,12339.75,1241.4166666666667,-3851.75,0.0,0.0,CAISO via gridstatus,2024-09-05
2024-09-05 11:00:00-07:00,17512.583333333332,839.4166666666666,786.5833333333334,351.0833333333333,154.75,239.25,0.0,2242.9166666666665,12892.833333333334,1549.0,-3217.0,205.33333333333334,0.0,CAISO via gridstatus,2024-09-05
