Time,load_MW,solar_MW,wind_MW,net_load_MW,source,as_of_date
2025-04-16 00:00:00-07:00,22068,0.0,3414.5833333333335,18653.416666666668,CAISO via gridstatus,2025-04-16
2025-04-16 01:00:00-07:00,21359,0.0,3240.25,18118.75,CAISO via gridstatus,2025-04-16
2025-04-16 02:00:00-07:00,20750,0.0,3086.1666666666665,17663.833333333332,CAISO via gridstatus,2025-04-16
2025-04-16 03:00:00-07:00,20685,0.0,3177.6666666666665,17507.333333333332,CAISO via gridstatus,2025-04-16
2025-04-16 04:00:00-07:00,21167,0.0,3665.0833333333335,17501.916666666668,CAISO via gridstatus,2025-04-16
2025-04-16 05:00:00-07:00,21721,0.0,3649.25,18071.75,CAISO via gridstatus,2025-04-16
2025-04-16 06:00:00-07:00,23106,605.1666666666666,3531.3333333333335,18969.5,CAISO via gridstatus,2025-04-16
2025-04-16 07:00:00-07:00,24858,7238.25,3279.8333333333335,14339.916666666666,CAISO via gridstatus,2025-04-16
2025-04-16 08:00:00-07:00,26056,15209.0,2883.3333333333335,7963.666666666666,CAISO via gridstatus,2025-04-16
2025-04-16 09:00:00-07:00,26800,17627.416666666668,3037.0,6135.583333333332,CAISO via gridstatus,2025-04-16
2025-04-16 10:00:00-07:00,27246,19276.25,3359.25,4610.5,CAISO via gridstatus,2025-04-16
2025-04-16 11:00:00-07:00,26958,20061.75,3518.5833333333335,3377.6666666666665,CAISO via gridstatus,2025-04-16
2025-04-16 12:00:00-07:00,26659,20225.833333333332,3775.3333333333335,2657.8333333333344,CAISO via gridstatus,2025-04-16
2025-04-16 13:00:00-07:00,26046,19429.333333333332,4191.416666666667,2425.250000000001,CAISO via gridstatus,2025-04-16
2025-04-16 14:00:00-07:00,24830,18576.25,4648.0,1605.75,CAISO via gridstatus,2025-04-16
2025-04-16 15:00:00-07:00,23866,17403.25,4984.166666666667,1478.583333333333,CAISO via gridstatus,2025-04-16
2025-04-16 16:00:00-07:00,23471,15291.916666666666,5136.0,3043.083333333334,CAISO via gridstatus,2025-04-16
2025-04-16 17:00:00-07:00,23423,11712.416666666666,5228.75,6481.833333333334,CAISO via gridstatus,2025-04-16
2025-04-16 18:00:00-07:00,24276,4617.583333333333,5495.833333333333,14162.583333333336,CAISO via gridstatus,2025-04-16
2025-04-16 19:00:00-07:00,25768,303.8333333333333,5799.75,19664.416666666668,CAISO via gridstatus,2025-04-16
2025-04-16 20:00:00-07:00,26133,24.5,5653.166666666667,20455.333333333332,CAISO via gridstatus,2025-04-16
2025-04-16 21:00:00-07:00,25597,7.416666666666667,5555.166666666667,20034.416666666664,CAISO via gridstatus,2025-04-16
2025-04-16 22:00:00-07:00,24487,9.666666666666666,5491.416666666667,18985.916666666664,CAISO via gridstatus,2025-04-16
2025-04-16 23:00:00-07:00,23166,9.75,5696.916666666667,17459.333333333332,CAISO via gridstatus,2025-04-16
