Time,Solar,Wind,Geothermal,Biomass,Biogas,Small Hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,source,as_of_date
2026-07-15 00:00:00-07:00,0.0,4688.0,800.5,216.5,167.91666666666666,326.8333333333333,0.0,2270.5833333333335,13317.166666666666,3213.5,1274.9166666666667,5091.833333333333,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 01:00:00-07:00,0.0,4743.333333333333,798.9166666666666,217.5,167.66666666666666,297.8333333333333,0.0,2270.25,12718.916666666666,2882.25,264.0,5119.916666666667,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 02:00:00-07:00,0.0,4533.666666666667,802.5,215.33333333333334,167.5,294.8333333333333,0.0,2270.4166666666665,11823.5,2706.5,-364.4166666666667,5379.333333333333,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 03:00:00-07:00,0.0,4006.0833333333335,803.0,217.75,168.16666666666666,294.75,0.0,2271.0,11806.333333333334,2545.1666666666665,-907.0,5215.083333333333,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 04:00:00-07:00,0.0,3465.4166666666665,803.0833333333334,220.33333333333334,166.75,295.25,0.0,2270.6666666666665,11763.666666666666,2740.25,-803.9166666666666,5236.0,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 05:00:00-07:00,0.0,3091.6666666666665,804.9166666666666,217.0,167.58333333333334,294.0833333333333,0.0,2270.75,12249.833333333334,2901.1666666666665,-34.25,4456.0,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 06:00:00-07:00,2619.9166666666665,2770.0,803.75,217.5,167.08333333333334,295.5833333333333,0.0,2269.6666666666665,11826.333333333334,2973.8333333333335,259.25,3042.8333333333335,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 07:00:00-07:00,12324.0,2325.5,801.75,219.91666666666666,160.33333333333334,281.1666666666667,0.0,2269.5833333333335,9946.25,1884.75,-4275.833333333333,2261.0833333333335,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 08:00:00-07:00,18763.666666666668,1876.8333333333333,804.25,219.08333333333334,164.0,269.0833333333333,0.0,2269.25,9134.583333333334,1736.0833333333333,-8364.083333333334,1722.6666666666667,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 09:00:00-07:00,20948.833333333332,1572.5833333333333,796.8333333333334,219.83333333333334,165.83333333333334,268.6666666666667,0.0,2269.6666666666665,9560.666666666666,1760.6666666666667,-9067.5,270.0,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 10:00:00-07:00,21634.166666666668,1509.25,793.75,218.5,166.25,268.5833333333333,0.0,2270.0833333333335,9925.5,2164.3333333333335,-7935.333333333333,0.0,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 11:00:00-07:00,22231.583333333332,1460.9166666666667,789.75,220.08333333333334,164.58333333333334,268.6666666666667,0.0,2270.5,10131.0,2233.9166666666665,-6678.0,0.0,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 12:00:00-07:00,22364.916666666668,1637.9166666666667,789.0833333333334,220.33333333333334,163.33333333333334,269.4166666666667,0.0,2269.8333333333335,9966.916666666666,2321.6666666666665,-5250.583333333333,0.0,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 13:00:00-07:00,22143.583333333332,2202.4166666666665,786.8333333333334,220.41666666666666,165.66666666666666,267.5,0.0,2269.0,10853.0,2087.5833333333335,-3971.3333333333335,0.0,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 14:00:00-07:00,21223.5,3053.5,787.0,219.83333333333334,164.75,273.25,0.0,2269.3333333333335,11442.083333333334,2375.3333333333335,-2702.0,0.0,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 15:00:00-07:00,20019.916666666668,3914.75,788.0,220.08333333333334,165.16666666666666,298.25,0.0,2270.8333333333335,12562.666666666666,2875.4166666666665,-1599.3333333333333,0.0,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 16:00:00-07:00,18564.916666666668,4231.083333333333,789.25,221.58333333333334,166.75,303.5833333333333,0.0,2271.0,13949.5,3497.9166666666665,-983.25,0.0,0.0,CAISO via gridstatus,2026-07-15
2026-07-15 17:00:00-07:00,15553.833333333334,4621.583333333333,800.3333333333334,220.58333333333334,167.33333333333334,316.25,0.0,2273.1666666666665,15435.0,3713.0,731.0833333333334,0.0,0.0,CAISO via gridstatus,2026-07-15
