Time,load_MW,solar_MW,wind_MW,net_load_MW,source,as_of_date
2024-09-05 00:00:00-07:00,30537,0.0,2935.0833333333335,27601.916666666668,CAISO via gridstatus,2024-09-05
2024-09-05 01:00:00-07:00,29670,0.0,2757.0,26913.0,CAISO via gridstatus,2024-09-05
2024-09-05 02:00:00-07:00,28926,0.0,2479.5,26446.5,CAISO via gridstatus,2024-09-05
2024-09-05 03:00:00-07:00,28435,0.0,2337.5833333333335,26097.416666666668,CAISO via gridstatus,2024-09-05
2024-09-05 04:00:00-07:00,27528,0.0,2109.9166666666665,25418.083333333332,CAISO via gridstatus,2024-09-05
2024-09-05 05:00:00-07:00,27457,0.0,1940.3333333333333,25516.666666666668,CAISO via gridstatus,2024-09-05
2024-09-05 06:00:00-07:00,28346,157.16666666666666,1619.3333333333333,26569.5,CAISO via gridstatus,2024-09-05
2024-09-05 07:00:00-07:00,30899,5130.666666666667,1296.0,24472.333333333332,CAISO via gridstatus,2024-09-05
2024-09-05 08:00:00-07:00,34532,13375.25,1120.5833333333333,20036.166666666668,CAISO via gridstatus,2024-09-05
2024-09-05 09:00:00-07:00,35228,16334.083333333334,1042.25,17851.666666666664,CAISO via gridstatus,2024-09-05
2024-09-05 10:00:00-07:00,35572,17558.666666666668,807.1666666666666,17206.166666666664,CAISO via gridstatus,2024-09-05
2024-09-05 11:00:00-07:00,36585,17512.583333333332,839.4166666666666,18233.0,CAISO via gridstatus,2024-09-05
2024-09-05 12:00:00-07:00,38106,17606.083333333332,866.3333333333334,19633.583333333336,CAISO via gridstatus,2024-09-05
2024-09-05 13:00:00-07:00,40230,17554.666666666668,890.4166666666666,21784.916666666664,CAISO via gridstatus,2024-09-05
2024-09-05 14:00:00-07:00,42917,17359.166666666668,1005.0833333333334,24552.75,CAISO via gridstatus,2024-09-05
2024-09-05 15:00:00-07:00,45739,16830.416666666668,1302.25,27606.333333333332,CAISO via gridstatus,2024-09-05
2024-09-05 16:00:00-07:00,47340,15614.5,1566.5833333333333,30158.916666666668,CAISO via gridstatus,2024-09-05
2024-09-05 17:00:00-07:00,47759,11512.75,2091.9166666666665,34154.333333333336,CAISO via gridstatus,2024-09-05
2024-09-05 18:00:00-07:00,46907,3361.75,2585.0,40960.25,CAISO via gridstatus,2024-09-05
2024-09-05 19:00:00-07:00,45088,18.916666666666668,3190.1666666666665,41878.91666666667,CAISO via gridstatus,2024-09-05
2024-09-05 20:00:00-07:00,43503,0.0,3401.8333333333335,40101.166666666664,CAISO via gridstatus,2024-09-05
2024-09-05 21:00:00-07:00,41169,0.0,3276.4166666666665,37892.583333333336,CAISO via gridstatus,2024-09-05
2024-09-05 22:00:00-07:00,37771,0.0,3303.6666666666665,34467.333333333336,CAISO via gridstatus,2024-09-05
2024-09-05 23:00:00-07:00,34825,0.0,3127.9166666666665,31697.083333333332,CAISO via gridstatus,2024-09-05
