Time,Solar,Wind,Geothermal,Biomass,Biogas,Small Hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,source,as_of_date
2025-01-13 00:00:00-08:00,0.0,976.1666666666666,789.25,214.75,174.66666666666666,188.41666666666666,0.0,2269.9166666666665,9347.833333333334,1673.6666666666667,-223.5,5653.833333333333,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 01:00:00-08:00,0.0,1252.1666666666667,791.0833333333334,214.08333333333334,174.0,189.16666666666666,0.0,2269.0833333333335,9090.916666666666,1569.75,-367.0833333333333,5590.916666666667,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 02:00:00-08:00,0.0,1347.8333333333333,791.0,215.5,174.66666666666666,189.16666666666666,0.0,2269.75,9048.75,1594.75,-850.8333333333334,5513.666666666667,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 03:00:00-08:00,0.0,1558.4166666666667,789.5833333333334,215.5,174.5,189.41666666666666,0.0,2269.75,9024.25,1467.8333333333333,-899.0,5405.166666666667,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 04:00:00-08:00,0.0,1706.0833333333333,786.9166666666666,214.91666666666666,175.08333333333334,189.25,0.0,2268.6666666666665,9166.75,1767.4166666666667,-340.6666666666667,4823.25,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 05:00:00-08:00,0.0,2456.4166666666665,782.5,212.41666666666666,175.16666666666666,188.0,0.0,2268.8333333333335,9095.666666666666,1873.6666666666667,333.9166666666667,5030.5,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 06:00:00-08:00,0.0,2737.9166666666665,751.3333333333334,210.5,173.75,190.33333333333334,0.0,2269.75,9268.166666666666,1963.0,2477.0833333333335,4828.916666666667,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 07:00:00-08:00,2434.75,2703.75,749.3333333333334,211.5,174.16666666666666,186.75,0.0,2270.0,9432.75,1879.5,1827.5833333333333,4934.333333333333,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 08:00:00-08:00,11160.083333333334,2609.1666666666665,729.75,210.58333333333334,173.58333333333334,171.08333333333334,0.0,2269.1666666666665,6137.916666666667,1247.1666666666667,-1727.4166666666667,2739.9166666666665,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 09:00:00-08:00,15188.333333333334,2777.9166666666665,716.6666666666666,210.66666666666666,173.16666666666666,175.58333333333334,0.0,2269.0833333333335,3783.6666666666665,1016.9166666666666,-4171.0,1147.4166666666667,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 10:00:00-08:00,15508.25,3101.1666666666665,718.5,214.58333333333334,173.25,176.08333333333334,0.0,2269.8333333333335,3367.0,918.3333333333334,-4959.416666666667,0.0,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 11:00:00-08:00,15294.083333333334,2954.5,737.0833333333334,212.58333333333334,161.0,175.75,0.0,2269.0,3191.0833333333335,918.3333333333334,-5567.333333333333,0.0,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 12:00:00-08:00,15277.916666666666,2498.0,766.0833333333334,208.83333333333334,170.83333333333334,176.08333333333334,0.0,2268.0,3174.8333333333335,866.5833333333334,-5512.75,0.0,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 13:00:00-08:00,15242.833333333334,2214.6666666666665,792.0833333333334,209.91666666666666,172.0,175.66666666666666,0.0,2267.5833333333335,3269.8333333333335,790.0833333333334,-5513.083333333333,0.0,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 14:00:00-08:00,15093.416666666666,2079.5833333333335,792.3333333333334,212.08333333333334,175.25,174.41666666666666,0.0,2267.6666666666665,3343.1666666666665,841.1666666666666,-4676.916666666667,234.08333333333334,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 15:00:00-08:00,11797.916666666666,1595.6666666666667,769.0833333333334,213.41666666666666,174.83333333333334,168.25,0.0,2267.1666666666665,4187.75,1146.9166666666667,-1212.3333333333333,903.0,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 16:00:00-08:00,2900.5,1191.9166666666667,749.3333333333334,218.83333333333334,174.33333333333334,185.91666666666666,0.0,2266.9166666666665,7612.166666666667,1937.3333333333333,3174.0,3799.75,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 17:00:00-08:00,0.0,785.8333333333334,753.9166666666666,214.75,173.58333333333334,205.16666666666666,0.0,2267.1666666666665,9235.75,2169.0833333333335,6498.25,4386.833333333333,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 18:00:00-08:00,0.0,715.0,753.5,214.66666666666666,173.66666666666666,219.0,0.0,2267.25,9548.5,2548.3333333333335,5784.583333333333,4902.916666666667,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 19:00:00-08:00,0.0,715.3333333333334,748.4166666666666,216.08333333333334,173.58333333333334,216.58333333333334,0.0,2266.25,9696.75,2434.25,4832.25,5343.5,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 20:00:00-08:00,0.0,761.9166666666666,755.75,213.33333333333334,174.25,199.33333333333334,0.0,2266.5833333333335,9733.333333333334,2389.8333333333335,4178.75,5510.583333333333,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 21:00:00-08:00,0.0,850.6666666666666,751.5,213.66666666666666,173.66666666666666,199.33333333333334,0.0,2267.6666666666665,10086.0,2335.5833333333335,2786.5833333333335,6075.416666666667,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 22:00:00-08:00,0.0,989.25,744.0,208.16666666666666,173.16666666666666,201.0,0.0,2267.0,10157.25,2297.5833333333335,1667.3333333333333,5710.25,0.0,CAISO via gridstatus,2025-01-13
2025-01-13 23:00:00-08:00,0.0,1063.0,788.25,207.66666666666666,173.08333333333334,190.16666666666666,0.0,2267.0833333333335,10057.75,2148.3333333333335,753.25,5373.583333333333,0.0,CAISO via gridstatus,2025-01-13
