Time,load_MW,solar_MW,wind_MW,net_load_MW,source,as_of_date,hour,ev_load_MW_low,net_load_plus_ev_MW_low,ev_load_MW_mid,net_load_plus_ev_MW_mid,ev_load_MW_high,net_load_plus_ev_MW_high
2025-08-21 00:00:00-07:00,29371,0.0,2900.1666666666665,26470.833333333332,CAISO via gridstatus,2025-08-21,0,848.6450744059141,27319.478407739247,1183.85987879625,27654.693212129583,1400.2643727697582,27871.09770610309
2025-08-21 01:00:00-07:00,28063,0.0,2656.0833333333335,25406.916666666668,CAISO via gridstatus,2025-08-21,1,549.7317308696041,25956.64839753627,766.8757645630978,26173.792431229765,907.0573559348469,26313.974022601516
2025-08-21 02:00:00-07:00,27145,0.0,2256.0,24889.0,CAISO via gridstatus,2025-08-21,2,324.61985554556986,25213.61985554557,452.84469848607,25341.84469848607,535.6227616501903,25424.62276165019
2025-08-21 03:00:00-07:00,26355,0.0,1807.8333333333333,24547.166666666668,CAISO via gridstatus,2025-08-21,3,186.47511510737317,24733.64178177404,260.1327855747856,24807.299452241452,307.68393992716574,24854.850606593835
2025-08-21 04:00:00-07:00,25606,0.0,1280.75,24325.25,CAISO via gridstatus,2025-08-21,4,141.58347872534594,24466.833478725344,197.5089528218576,24522.758952821856,233.61273989682084,24558.86273989682
2025-08-21 05:00:00-07:00,26201,0.0,859.0,25342.0,CAISO via gridstatus,2025-08-21,5,213.81623080619883,25555.8162308062,298.2736419746474,25640.273641974647,352.7967808302281,25694.796780830227
2025-08-21 06:00:00-07:00,27630,554.5833333333334,564.25,26511.166666666668,CAISO via gridstatus,2025-08-21,6,387.8149075167277,26898.981574183395,541.0017959858352,27052.168462652502,639.8945974026008,27151.061264069267
2025-08-21 07:00:00-07:00,30674,7130.916666666667,395.6666666666667,23147.416666666664,CAISO via gridstatus,2025-08-21,7,550.0552461831633,23697.47191284983,767.3270684255127,23914.743735092175,907.5911562022194,24055.007822868884
2025-08-21 08:00:00-07:00,34841,15580.083333333334,274.25,18986.666666666664,CAISO via gridstatus,2025-08-21,8,614.8886033920945,19601.555270058758,857.7696017319719,19844.436268398636,1014.566195596956,20001.23286226362
2025-08-21 09:00:00-07:00,36217,18483.416666666668,169.16666666666666,17564.416666666664,CAISO via gridstatus,2025-08-21,9,586.0779730538745,18150.49463972054,817.578772410155,18381.995439076818,967.028655538893,18531.445322205556
2025-08-21 10:00:00-07:00,36351,19541.0,129.0,16681.0,CAISO via gridstatus,2025-08-21,10,528.5995921383421,17209.599592138344,737.3964310329874,17418.396431032987,872.1893270282646,17553.189327028264
2025-08-21 11:00:00-07:00,35670,19489.25,190.83333333333337,15989.916666666666,CAISO via gridstatus,2025-08-21,11,493.92200788716883,16483.838674553834,689.0212010026006,16678.937867669265,814.9713130138286,16804.887979680494
2025-08-21 12:00:00-07:00,35939,19384.916666666668,286.25,16267.833333333332,CAISO via gridstatus,2025-08-21,12,461.71187567282414,16729.545209006155,644.0880665635897,16911.92139989692,761.8245948601599,17029.657928193494
2025-08-21 13:00:00-07:00,36921,18779.583333333332,306.8333333333333,17834.583333333336,CAISO via gridstatus,2025-08-21,13,433.0219158062517,18267.605249139586,604.0655725497212,18438.648905883056,714.4861610803154,18549.069494413652
2025-08-21 14:00:00-07:00,39001,18901.083333333332,412.9166666666667,19687.0,CAISO via gridstatus,2025-08-21,14,386.7259120333261,20073.725912033326,539.48264728649,20226.48264728649,638.0977548549881,20325.09775485499
2025-08-21 15:00:00-07:00,41217,17479.25,588.9166666666666,23148.833333333332,CAISO via gridstatus,2025-08-21,15,301.12909029485564,23449.96242362819,420.07508096132364,23568.908414294656,496.86299898651185,23645.696332319843
2025-08-21 16:00:00-07:00,42591,15563.833333333334,875.25,26151.916666666664,CAISO via gridstatus,2025-08-21,16,308.43594646152303,26460.352613128187,430.2681453138247,26582.18481198049,508.91931166151306,26660.835978328178
2025-08-21 17:00:00-07:00,43919,12624.166666666666,1378.75,29916.083333333336,CAISO via gridstatus,2025-08-21,17,362.18316678131055,30278.266500114645,505.2455176599283,30421.328850993264,597.6022251891625,30513.6855585225
2025-08-21 18:00:00-07:00,43921,5622.5,1989.75,36308.75,CAISO via gridstatus,2025-08-21,18,389.54501115011186,36698.29501115011,543.415290554406,36852.1652905544,642.7492683976847,36951.49926839768
2025-08-21 19:00:00-07:00,42314,503.75,2432.1666666666665,39378.083333333336,CAISO via gridstatus,2025-08-21,19,424.1567078431458,39802.24004117648,591.6986074411884,39969.78194077453,699.8585679411906,40077.94190127453
2025-08-21 20:00:00-07:00,41092,13.833333333333334,3033.1666666666665,38045.0,CAISO via gridstatus,2025-08-21,20,592.4786902187195,38637.47869021872,826.5077728551139,38871.50777285511,977.5898388608873,39022.589838860884
2025-08-21 21:00:00-07:00,39115,30.666666666666668,3316.75,35767.583333333336,CAISO via gridstatus,2025-08-21,21,718.6740927251836,36486.25742605852,1002.5503593516313,36770.13369268497,1185.812252996553,36953.39558632989
2025-08-21 22:00:00-07:00,36384,21.833333333333332,3273.75,33088.416666666664,CAISO via gridstatus,2025-08-21,22,1001.9084183533006,34090.32508501996,1397.6622436028545,34486.07891026952,1653.1488902829462,34741.56555694961
2025-08-21 23:00:00-07:00,33304,21.166666666666668,2846.1666666666665,30436.666666666668,CAISO via gridstatus,2025-08-21,23,1079.7993570280585,31516.466023694727,1506.3201030541418,31942.98676972081,1781.6689390962968,32218.335605762964
